PM ASL data store: /var/log/powermanagement
2026-08-30 22:13:27 +0800 ShutdownCause       	SMC shutdown cause: 5: Software initiated shutdown                         	          

Time stamp                Domain              	Message                                                                    	Duration  	Delay     
==========                ======              	=======                                                                    	========  	=====     
UUID: (null)
2026-08-30 22:13:28 +0800 Start               	powerd process is started                                                  	          
2026-08-30 22:13:28 +0800 Assertions          	Summary- [System: No Assertions] Using AC          
2026-08-30 22:13:28 +0800 Assertions          	PID 78(CSCSupportd) Created UserIsActive "com.apple.CSCSupport.disablesleep" 00:00:00  id:0x0x900008000 [System: DeclUser kDisp]          
2026-08-30 22:13:29 +0800 Assertions          	Summary- [System: DeclUser BGTask kDisp] Using AC          
2026-08-30 22:13:43 +0800 Assertions          	Kernel Idle sleep preventers: IODisplayWrangler          
2026-08-30 22:13:46 +0800 Assertions          	PID 41(powerd) Created ExternalMedia "com.apple.powermanagement.externalmediamounted" 00:00:00  id:0x0x800008023 [System: PrevIdle DeclUser kDisp]          
2026-08-30 22:13:56 +0800 Assertions          	PID 471(cloudd) Created SystemIsActive "NSURLSessionTask 5D916AD2-6A97-4DF5-AD3A-7813ECE49FBA" 00:00:00  id:0x0xc00008086 [System: DeclUser SysAct kDisp]          
2026-08-30 22:13:58 +0800 Assertions          	PID 560(nfcd) Created SystemIsActive "nfcd[Load Stack]" 00:00:00  id:0x0xc00008095 [System: PrevIdle DeclUser SysAct kDisp]          
2026-08-30 22:13:58 +0800 Assertions          	PID 560(nfcd) Released SystemIsActive "nfcd[Load Stack]" 00:00:00  id:0x0xc00008095 [System: PrevIdle DeclUser SysAct kDisp]          
2026-08-30 22:13:59 +0800 Assertions          	PID 471(cloudd) Released SystemIsActive "NSURLSessionTask 5D916AD2-6A97-4DF5-AD3A-7813ECE49FBA" 00:00:03  id:0x0xc00008086 [System: DeclUser kDisp]          
2026-08-30 22:14:05 +0800 Assertions          	PID 471(cloudd) Created SystemIsActive "NSURLSessionTask 9EB98948-6446-486A-B4BD-C552C7109D76" 00:00:00  id:0x0xc000080f3 [System: PrevIdle DeclUser SysAct kDisp]          
2026-08-30 22:14:05 +0800 Assertions          	PID 471(cloudd) Created SystemIsActive "NSURLSessionTask CDF8C93B-FB82-4B7A-ACB0-81220D58B9A0" 00:00:00  id:0x0xc000080f4 [System: PrevIdle DeclUser SysAct kDisp]          
2026-08-30 22:14:05 +0800 Assertions          	PID 471(cloudd) Created SystemIsActive "NSURLSessionTask 713C5659-3B4E-4B1A-803C-83121A049C9A" 00:00:00  id:0x0xc000080f6 [System: PrevIdle DeclUser SysAct kDisp]          
2026-08-30 22:14:05 +0800 Assertions          	PID 471(cloudd) Created SystemIsActive "NSURLSessionTask 472A2616-5167-4C74-9BEB-27314D9BD277" 00:00:00  id:0x0xc000080f8 [System: PrevIdle DeclUser SysAct kDisp]          
2026-08-30 22:14:06 +0800 Assertions          	PID 471(cloudd) Created SystemIsActive "NSURLSessionTask 3DCA8C6F-CAB2-4DCC-A11A-215B5AC141EC" 00:00:00  id:0x0xc00008105 [System: PrevIdle DeclUser SysAct kDisp]          
2026-08-30 22:14:06 +0800 Assertions          	PID 471(cloudd) Created SystemIsActive "NSURLSessionTask 50A51BB1-FA05-48E8-BA15-7289A60BCE25" 00:00:00  id:0x0xc00008106 [System: PrevIdle DeclUser SysAct kDisp]          
2026-08-30 22:14:08 +0800 Assertions          	PID 471(cloudd) Released SystemIsActive "NSURLSessionTask 9EB98948-6446-486A-B4BD-C552C7109D76" 00:00:03  id:0x0xc000080f3 [System: PrevIdle DeclUser SysAct kDisp]          
2026-08-30 22:14:08 +0800 Assertions          	PID 471(cloudd) Released SystemIsActive "NSURLSessionTask CDF8C93B-FB82-4B7A-ACB0-81220D58B9A0" 00:00:03  id:0x0xc000080f4 [System: PrevIdle DeclUser SysAct kDisp]          
2026-08-30 22:14:08 +0800 Assertions          	PID 471(cloudd) Released SystemIsActive "NSURLSessionTask 713C5659-3B4E-4B1A-803C-83121A049C9A" 00:00:03  id:0x0xc000080f6 [System: PrevIdle DeclUser SysAct kDisp]          
2026-08-30 22:14:08 +0800 Assertions          	PID 471(cloudd) Released SystemIsActive "NSURLSessionTask 472A2616-5167-4C74-9BEB-27314D9BD277" 00:00:03  id:0x0xc000080f8 [System: PrevIdle DeclUser SysAct kDisp]          
2026-08-30 22:14:09 +0800 Assertions          	PID 471(cloudd) Released SystemIsActive "NSURLSessionTask 3DCA8C6F-CAB2-4DCC-A11A-215B5AC141EC" 00:00:03  id:0x0xc00008105 [System: PrevIdle DeclUser SysAct kDisp]          
2026-08-30 22:14:09 +0800 Assertions          	PID 471(cloudd) Released SystemIsActive "NSURLSessionTask 50A51BB1-FA05-48E8-BA15-7289A60BCE25" 00:00:03  id:0x0xc00008106 [System: PrevIdle DeclUser kDisp]          
2026-08-30 22:14:19 +0800 Assertions          	PID 129(coreaudiod) TurnedOn PreventUserIdleDisplaySleep "com.apple.audio.AppleGFXHDAEngineOutputDP:30001:1:{844E-033C-00000001}.context.preventuseridledisplaysleep" 00:00:00  id:0x0x500008139 [System: PrevIdle PrevDisp DeclUser kDisp]          
2026-08-30 22:14:37 +0800 Assertions          	PID 41(powerd) Created InternalPreventDisplaySleep "com.apple.powermanagement.delayDisplayOff" 00:00:00  id:0x0x1000008141 [System: PrevIdle PrevDisp DeclUser IntPrevDisp kDisp]          
2026-08-30 22:14:37 +0800 Assertions          	PID 129(coreaudiod) TurnedOff PreventUserIdleDisplaySleep "com.apple.audio.AppleGFXHDAEngineOutputDP:30001:1:{844E-033C-00000001}.context.preventuseridledisplaysleep" 00:00:17  id:0x0x500008139 [System: PrevIdle DeclUser IntPrevDisp kDisp]          
2026-08-30 22:15:03 +0800 Assertions          	PID 70(apsd) Released ApplePushServiceTask "com.apple.apsd-login" 00:01:14  id:0x0xb00008048 [System: PrevIdle DeclUser IntPrevDisp IPushSrvc kDisp]          
2026-08-30 22:15:04 +0800 Assertions          	Summary- [System: PrevIdle DeclUser IntPrevDisp kDisp] Using AC          
